incident_hour_of_the_day,number_of_vehicles_involved,number_of_witnesses,Policy_Age,Policy_Deductible,Incident_Type,Collision_Type,Incident_Severity,authorities_contacted,property_damage,police_report_filed,Insured_Gender,SIU_Referral_Flag,claim_time_diff,Previous_Claims_made,Driving Under Influence,Others,Traffic Violations
7,1,0,9,1000,Vehicle Theft,Side,Minor,None,Yes,None,Female,0,8.0,Yes,1.0,1.0,1.0
2,1,0,9,1000,Vehicle Theft,Front,Minor,Fire Brigade,No,Yes,Female,0,10.0,Yes,1.0,1.0,1.0
6,2,0,9,1000,Vehicle Theft,Unknown,Minor,None,No,None,Female,0,1.0,Yes,1.0,1.0,1.0
16,1,1,11,500,Multiple vehicles,Rear,Trivial,None,No,Yes,Female,0,1.0,No,0.0,0.0,1.0
21,1,1,11,500,Multiple vehicles,Rear,Minor,Police,No,No,Female,0,8.0,Yes,0.0,0.0,1.0
11,1,1,11,500,Single vehicles,Side,Minor,None,No,No,Female,0,6.0,Yes,0.0,0.0,1.0
18,1,2,11,500,Vehicle Theft,Side,Trivial,Police,Yes,No,Female,0,5.0,Yes,0.0,0.0,1.0
2,1,2,11,500,Single vehicles,Side,Trivial,Ambulance,Yes,No,Female,0,10.0,Yes,0.0,0.0,1.0
9,1,2,4,2000,Parked Car,Rear,Minor,None,No,None,Male,0,5.0,No,3.0,2.0,1.0
1,1,2,4,2000,Vehicle Theft,Rear,Minor,None,No,No,Male,0,6.0,Yes,3.0,2.0,1.0
16,1,2,4,2000,Parked Car,Side,Trivial,Police,No,No,Male,0,6.0,Yes,3.0,2.0,1.0
20,3,2,4,2000,Vehicle Theft,Side,Minor,Other,No,None,Male,0,1.0,Yes,3.0,2.0,1.0
11,2,1,4,2000,Multiple vehicles,Front,Total Loss,None,No,No,Male,1,5.0,Yes,3.0,2.0,1.0
11,4,0,4,2000,Multiple vehicles,Side,Total Loss,Police,Yes,Yes,Male,1,9.0,Yes,3.0,2.0,1.0
0,3,2,4,2000,Multiple vehicles,Front,Total Loss,Other,Yes,No,Male,1,9.0,Yes,3.0,2.0,1.0
1,4,1,6,1000,Multiple vehicles,Front,Total Loss,Ambulance,Yes,Yes,Other,1,8.0,No,1.0,3.0,1.0
17,1,1,6,1000,Multiple vehicles,Front,Total Loss,None,No,None,Other,0,1.0,Yes,1.0,3.0,1.0
17,1,0,6,1000,Multiple vehicles,Rear,Trivial,None,Yes,None,Other,0,9.0,Yes,1.0,3.0,1.0
12,3,0,6,1000,Parked Car,Side,Minor,Other,No,None,Other,0,9.0,Yes,1.0,3.0,1.0
19,4,1,6,1000,Single vehicles,Rear,Major,Other,Yes,None,Other,1,2.0,Yes,1.0,3.0,1.0
11,1,0,6,1000,Parked Car,Front,Minor,None,Yes,None,Other,0,4.0,Yes,1.0,3.0,1.0
21,3,0,6,1000,Vehicle Theft,Rear,Minor,Other,Yes,No,Other,0,1.0,Yes,1.0,3.0,1.0
10,1,0,6,1000,Vehicle Theft,Rear,Minor,Ambulance,Yes,No,Other,0,9.0,Yes,1.0,3.0,1.0
18,3,0,11,500,Single vehicles,Rear,Trivial,Fire Brigade,No,Yes,Female,0,1.0,No,0.0,1.0,0.0
18,4,1,11,500,Multiple vehicles,Front,Major,Ambulance,No,Yes,Female,1,3.0,Yes,0.0,1.0,0.0
5,1,0,11,500,Single vehicles,Rear,Major,None,Yes,None,Female,0,2.0,Yes,0.0,1.0,0.0
10,4,1,5,500,Multiple vehicles,Unknown,Major,Police,Yes,No,Male,1,9.0,No,1.0,0.0,2.0
7,1,0,5,500,Multiple vehicles,Side,Total Loss,Other,No,Yes,Male,1,7.0,Yes,1.0,0.0,2.0
18,1,2,12,2000,Vehicle Theft,Unknown,Minor,Police,No,No,Female,0,3.0,No,0.0,1.0,0.0
18,3,1,12,2000,Vehicle Theft,Side,Minor,Other,No,None,Female,0,1.0,Yes,0.0,1.0,0.0
17,3,2,12,2000,Single vehicles,Side,Trivial,Fire Brigade,Yes,None,Female,0,1.0,No,0.0,0.0,0.0
19,2,1,5,500,Multiple vehicles,Side,Total Loss,Police,Yes,No,Male,1,3.0,No,2.0,1.0,1.0
9,1,1,5,500,Multiple vehicles,Unknown,Major,Fire Brigade,No,None,Male,1,5.0,Yes,2.0,1.0,1.0
4,4,2,5,500,Multiple vehicles,Rear,Total Loss,Police,Yes,None,Male,1,4.0,Yes,2.0,1.0,1.0
15,2,2,5,500,Multiple vehicles,Unknown,Total Loss,Police,Yes,None,Male,1,3.0,Yes,2.0,1.0,1.0
13,3,2,6,500,Vehicle Theft,Side,Trivial,Other,Yes,Yes,Female,0,9.0,No,2.0,1.0,2.0
16,1,1,6,500,Multiple vehicles,Unknown,Total Loss,None,Yes,No,Female,1,4.0,Yes,2.0,1.0,2.0
16,4,3,6,500,Vehicle Theft,Side,Major,Other,No,Yes,Female,1,10.0,Yes,2.0,1.0,2.0
0,1,2,6,500,Vehicle Theft,Side,Trivial,Fire Brigade,No,None,Female,0,6.0,Yes,2.0,1.0,2.0
11,4,0,6,500,Single vehicles,Rear,Trivial,Other,Yes,No,Female,0,8.0,Yes,2.0,1.0,2.0
3,1,1,6,500,Multiple vehicles,Rear,Minor,Police,Yes,None,Female,0,3.0,Yes,2.0,1.0,2.0
15,3,1,7,500,Vehicle Theft,Rear,Minor,None,Yes,None,Male,0,1.0,No,1.0,1.0,2.0
23,2,0,7,500,Multiple vehicles,Side,Total Loss,None,Yes,None,Male,1,8.0,Yes,1.0,1.0,2.0
17,1,0,7,500,Single vehicles,Rear,Minor,Ambulance,No,No,Male,0,3.0,Yes,1.0,1.0,2.0
17,3,1,7,500,Multiple vehicles,Side,Minor,Ambulance,Yes,None,Male,0,6.0,Yes,1.0,1.0,2.0
18,4,1,2,1000,Multiple vehicles,Side,Total Loss,Police,Yes,None,Male,1,7.0,No,1.0,2.0,4.0
13,2,2,2,1000,Single vehicles,Unknown,Minor,Other,Yes,None,Male,0,2.0,Yes,1.0,2.0,4.0
21,1,1,2,1000,Multiple vehicles,Rear,Trivial,Ambulance,Yes,None,Male,0,6.0,Yes,1.0,2.0,4.0
22,4,1,2,1000,Multiple vehicles,Front,Total Loss,Fire Brigade,No,No,Male,1,5.0,Yes,1.0,2.0,4.0
23,2,2,2,1000,Multiple vehicles,Front,Major,Ambulance,Yes,No,Male,1,8.0,Yes,1.0,2.0,4.0
14,3,3,2,1000,Single vehicles,Unknown,Minor,None,No,Yes,Male,0,1.0,Yes,1.0,2.0,4.0
21,1,2,2,1000,Single vehicles,Rear,Minor,Other,Yes,Yes,Male,0,7.0,Yes,1.0,2.0,4.0
19,1,0,2,1000,Single vehicles,Side,Minor,Other,Yes,None,Male,0,6.0,Yes,1.0,2.0,4.0
10,3,3,5,500,Multiple vehicles,Side,Total Loss,Police,Yes,None,Other,1,2.0,No,0.0,2.0,1.0
4,4,1,5,500,Multiple vehicles,Front,Total Loss,Other,Yes,None,Other,1,10.0,Yes,0.0,2.0,1.0
4,3,0,5,500,Single vehicles,Side,Minor,Police,Yes,No,Other,0,6.0,Yes,0.0,2.0,1.0
7,1,1,5,500,Single vehicles,Side,Trivial,None,No,None,Other,0,2.0,Yes,0.0,2.0,1.0
0,4,0,5,500,Single vehicles,Rear,Minor,Other,Yes,Yes,Male,0,1.0,No,2.0,0.0,3.0
18,4,0,5,500,Multiple vehicles,Front,Total Loss,Other,No,None,Male,1,9.0,Yes,2.0,0.0,3.0
23,4,0,5,500,Multiple vehicles,Front,Total Loss,Fire Brigade,Yes,None,Male,1,9.0,Yes,2.0,0.0,3.0
13,4,0,4,1000,Multiple vehicles,Side,Major,Other,Yes,Yes,Male,1,7.0,No,2.0,1.0,1.0
15,3,0,4,1000,Vehicle Theft,Side,Major,Police,No,Yes,Male,1,9.0,Yes,2.0,1.0,1.0
20,3,0,4,1000,Multiple vehicles,Unknown,Total Loss,None,Yes,Yes,Male,1,3.0,Yes,2.0,1.0,1.0
11,4,0,3,500,Multiple vehicles,Front,Total Loss,None,No,None,Male,1,4.0,No,2.0,0.0,3.0
23,4,1,3,500,Multiple vehicles,Front,Total Loss,None,No,No,Male,0,6.0,Yes,2.0,0.0,3.0
0,4,0,3,500,Multiple vehicles,Front,Total Loss,Fire Brigade,Yes,No,Male,1,3.0,Yes,2.0,0.0,3.0
13,2,0,3,500,Single vehicles,Unknown,Trivial,Fire Brigade,No,None,Male,0,7.0,Yes,2.0,0.0,3.0
22,2,2,3,500,Parked Car,Rear,Minor,Police,No,No,Male,0,1.0,Yes,2.0,0.0,3.0
14,4,0,3,500,Multiple vehicles,Side,Total Loss,Other,No,No,Male,1,7.0,Yes,2.0,0.0,3.0
5,1,0,3,500,Single vehicles,Side,Major,Other,No,No,Male,0,7.0,Yes,2.0,0.0,3.0
17,2,1,3,500,Multiple vehicles,Side,Trivial,Other,No,Yes,Male,0,8.0,Yes,2.0,0.0,3.0
4,1,1,8,1000,Multiple vehicles,Side,Total Loss,None,No,Yes,Male,0,2.0,No,1.0,1.0,1.0
4,1,3,8,1000,Single vehicles,Front,Total Loss,None,No,No,Male,1,3.0,Yes,1.0,1.0,1.0
21,1,3,8,1000,Parked Car,Side,Minor,None,No,Yes,Male,0,9.0,Yes,1.0,1.0,1.0
18,3,1,4,1000,Multiple vehicles,Front,Trivial,Ambulance,Yes,No,Male,1,5.0,No,4.0,3.0,2.0
10,2,2,4,1000,Vehicle Theft,Unknown,Total Loss,Ambulance,No,No,Male,1,2.0,Yes,4.0,3.0,2.0
0,3,0,4,1000,Multiple vehicles,Side,Total Loss,Police,Yes,No,Male,1,7.0,Yes,4.0,3.0,2.0
3,3,0,4,1000,Vehicle Theft,Front,Trivial,Ambulance,No,Yes,Male,0,3.0,Yes,4.0,3.0,2.0
0,4,1,4,1000,Single vehicles,Rear,Trivial,None,No,None,Male,0,8.0,Yes,4.0,3.0,2.0
6,3,0,4,1000,Vehicle Theft,Unknown,Minor,Fire Brigade,No,Yes,Male,0,3.0,Yes,4.0,3.0,2.0
15,4,0,4,1000,Vehicle Theft,Front,Total Loss,Fire Brigade,Yes,No,Male,1,2.0,Yes,4.0,3.0,2.0
6,2,2,4,1000,Single vehicles,Front,Trivial,Other,Yes,Yes,Male,1,8.0,Yes,4.0,3.0,2.0
19,1,2,8,1000,Multiple vehicles,Rear,Trivial,Other,No,Yes,Male,0,1.0,No,0.0,1.0,2.0
17,1,0,8,1000,Multiple vehicles,Front,Total Loss,None,No,No,Male,1,7.0,Yes,0.0,1.0,2.0
21,3,0,8,1000,Multiple vehicles,Side,Total Loss,None,No,None,Male,1,10.0,Yes,0.0,1.0,2.0
14,1,3,8,1000,Multiple vehicles,Front,Total Loss,Ambulance,No,Yes,Male,1,7.0,Yes,0.0,1.0,2.0
20,4,0,1,1000,Multiple vehicles,Side,Total Loss,None,Yes,None,Male,1,5.0,No,2.0,2.0,1.0
14,1,0,1,1000,Vehicle Theft,Side,Trivial,Other,No,No,Male,0,7.0,Yes,2.0,2.0,1.0
22,3,0,1,1000,Multiple vehicles,Side,Major,Police,No,None,Male,0,7.0,Yes,2.0,2.0,1.0
13,3,2,1,1000,Multiple vehicles,Side,Total Loss,Police,Yes,Yes,Male,1,2.0,Yes,2.0,2.0,1.0
5,1,0,1,1000,Multiple vehicles,Unknown,Minor,Other,No,No,Male,0,5.0,Yes,2.0,2.0,1.0
23,4,3,1,1000,Multiple vehicles,Front,Major,Police,Yes,None,Male,1,8.0,Yes,2.0,2.0,1.0
9,1,3,1,1000,Multiple vehicles,Front,Trivial,Other,No,No,Male,1,2.0,Yes,2.0,2.0,1.0
11,4,0,1,1000,Single vehicles,Side,Major,None,No,Yes,Male,0,3.0,Yes,2.0,2.0,1.0
13,3,1,1,1000,Parked Car,Front,Total Loss,Police,Yes,None,Male,1,6.0,Yes,2.0,2.0,1.0
1,1,0,7,2000,Vehicle Theft,Side,Minor,Other,No,Yes,Female,0,2.0,No,1.0,1.0,0.0
19,3,3,7,2000,Multiple vehicles,Rear,Total Loss,Fire Brigade,Yes,Yes,Female,0,8.0,Yes,1.0,1.0,0.0
6,2,0,7,2000,Single vehicles,Side,Trivial,None,No,Yes,Female,0,9.0,Yes,1.0,1.0,0.0
10,2,0,7,2000,Single vehicles,Side,Total Loss,None,Yes,No,Female,1,9.0,Yes,1.0,1.0,0.0
17,1,0,7,2000,Single vehicles,Side,Minor,Police,No,No,Female,0,5.0,Yes,1.0,1.0,0.0
18,3,2,7,2000,Vehicle Theft,Front,Trivial,None,No,No,Female,0,7.0,Yes,1.0,1.0,0.0
20,4,0,9,500,Multiple vehicles,Side,Total Loss,Other,Yes,Yes,Male,1,2.0,No,2.0,0.0,0.0
16,2,1,9,500,Single vehicles,Side,Trivial,Other,Yes,No,Male,0,4.0,Yes,2.0,0.0,0.0
10,3,0,9,500,Single vehicles,Unknown,Trivial,None,Yes,None,Male,0,2.0,Yes,2.0,0.0,0.0
19,4,0,9,500,Multiple vehicles,Front,Total Loss,None,Yes,Yes,Male,1,3.0,Yes,2.0,0.0,0.0
10,1,2,9,500,Multiple vehicles,Front,Total Loss,None,Yes,Yes,Male,1,8.0,Yes,2.0,0.0,0.0
22,1,3,9,500,Vehicle Theft,Front,Trivial,Police,No,No,Male,0,10.0,Yes,2.0,0.0,0.0
4,3,1,9,500,Vehicle Theft,Front,Minor,None,No,Yes,Male,0,3.0,Yes,2.0,0.0,0.0
12,1,1,5,1000,Single vehicles,Side,Trivial,Police,No,None,Male,0,4.0,No,2.0,1.0,2.0
7,1,0,5,1000,Vehicle Theft,Front,Major,None,No,No,Male,0,5.0,Yes,2.0,1.0,2.0
18,4,1,5,1000,Vehicle Theft,Front,Total Loss,Police,Yes,None,Male,1,1.0,Yes,2.0,1.0,2.0
16,1,0,5,1000,Single vehicles,Side,Minor,None,Yes,No,Male,0,4.0,Yes,2.0,1.0,2.0
17,1,0,5,1000,Single vehicles,Rear,Minor,Other,No,Yes,Male,0,2.0,Yes,2.0,1.0,2.0
3,1,1,5,1000,Single vehicles,Rear,Trivial,None,No,No,Male,0,6.0,Yes,2.0,1.0,2.0
2,2,0,5,1000,Multiple vehicles,Rear,Major,Fire Brigade,Yes,No,Male,1,7.0,Yes,2.0,1.0,2.0
8,2,0,5,1000,Single vehicles,Side,Trivial,Police,No,None,Male,0,10.0,Yes,2.0,1.0,2.0
19,1,0,6,1000,Single vehicles,Side,Major,None,Yes,No,Male,0,2.0,No,1.0,1.0,1.0
20,1,2,6,1000,Multiple vehicles,Front,Trivial,None,No,No,Male,1,6.0,Yes,1.0,1.0,1.0
20,4,0,6,1000,Multiple vehicles,Side,Total Loss,Fire Brigade,Yes,No,Male,0,1.0,Yes,1.0,1.0,1.0
12,4,0,7,500,Multiple vehicles,Unknown,Total Loss,Ambulance,No,Yes,Male,1,1.0,No,1.0,0.0,2.0
9,2,3,7,500,Vehicle Theft,Unknown,Minor,Other,No,Yes,Male,0,7.0,Yes,1.0,0.0,2.0
5,2,3,7,500,Multiple vehicles,Front,Total Loss,Other,Yes,No,Male,1,9.0,Yes,1.0,0.0,2.0
23,2,1,7,500,Parked Car,Side,Minor,Other,No,No,Male,0,3.0,Yes,1.0,0.0,2.0
11,1,1,6,500,Single vehicles,Rear,Minor,Other,No,No,Male,0,2.0,No,2.0,1.0,2.0
21,2,0,6,500,Vehicle Theft,Front,Total Loss,None,No,No,Male,1,8.0,Yes,2.0,1.0,2.0
6,2,1,6,500,Multiple vehicles,Front,Total Loss,Police,Yes,No,Male,0,3.0,Yes,2.0,1.0,2.0
13,1,1,6,500,Multiple vehicles,Front,Total Loss,Police,No,No,Male,1,7.0,Yes,2.0,1.0,2.0
10,4,1,6,500,Multiple vehicles,Front,Total Loss,None,No,No,Male,1,9.0,Yes,2.0,1.0,2.0
20,2,2,5,500,Vehicle Theft,Unknown,Trivial,None,No,None,Male,0,4.0,No,1.0,3.0,1.0
14,1,0,5,500,Single vehicles,Side,Minor,None,No,No,Male,0,8.0,Yes,1.0,3.0,1.0
23,4,1,5,500,Vehicle Theft,Side,Total Loss,Police,Yes,No,Male,1,1.0,Yes,1.0,3.0,1.0
13,1,2,5,500,Vehicle Theft,Front,Total Loss,Ambulance,Yes,Yes,Male,1,10.0,Yes,1.0,3.0,1.0
8,2,2,6,500,Vehicle Theft,Rear,Total Loss,Police,No,No,Female,1,1.0,No,1.0,1.0,1.0
14,3,0,6,500,Single vehicles,Side,Trivial,None,No,None,Female,0,8.0,Yes,1.0,1.0,1.0
22,1,2,6,500,Vehicle Theft,Side,Major,Other,No,None,Female,0,2.0,Yes,1.0,1.0,1.0
18,2,2,6,500,Vehicle Theft,Front,Minor,None,No,No,Female,0,6.0,Yes,1.0,1.0,1.0
8,1,1,11,500,Multiple vehicles,Rear,Total Loss,Other,No,Yes,Male,1,9.0,No,1.0,0.0,0.0
1,1,2,11,500,Single vehicles,Side,Minor,Police,No,None,Male,0,2.0,Yes,1.0,0.0,0.0
22,2,0,1,1000,Vehicle Theft,Side,Minor,Ambulance,No,Yes,Male,0,9.0,No,3.0,3.0,1.0
14,1,2,1,1000,Vehicle Theft,Side,Minor,Other,No,No,Male,0,5.0,Yes,3.0,3.0,1.0
13,2,0,1,1000,Multiple vehicles,Front,Total Loss,Police,Yes,None,Male,1,6.0,Yes,3.0,3.0,1.0
10,2,2,1,1000,Single vehicles,Side,Minor,None,Yes,None,Male,0,2.0,Yes,3.0,3.0,1.0
8,4,0,1,1000,Multiple vehicles,Unknown,Total Loss,Fire Brigade,Yes,None,Male,0,6.0,Yes,3.0,3.0,1.0
14,4,0,1,1000,Multiple vehicles,Rear,Total Loss,Other,No,Yes,Male,1,10.0,Yes,3.0,3.0,1.0
7,4,0,4,500,Multiple vehicles,Rear,Major,Police,Yes,Yes,Male,1,1.0,No,3.0,1.0,2.0
20,3,1,4,500,Multiple vehicles,Side,Total Loss,Other,Yes,Yes,Male,1,7.0,Yes,3.0,1.0,2.0
3,3,3,4,500,Single vehicles,Rear,Minor,Other,Yes,None,Male,0,5.0,Yes,3.0,1.0,2.0
13,2,0,4,500,Single vehicles,Rear,Minor,Fire Brigade,No,No,Male,0,3.0,Yes,3.0,1.0,2.0
15,4,0,4,500,Multiple vehicles,Unknown,Total Loss,Other,Yes,No,Male,0,5.0,Yes,3.0,1.0,2.0
14,2,1,2,500,Multiple vehicles,Side,Total Loss,Fire Brigade,No,None,Male,1,8.0,No,1.0,2.0,3.0
5,1,0,2,500,Single vehicles,Side,Minor,Other,No,Yes,Male,0,5.0,Yes,1.0,2.0,3.0
14,1,2,2,500,Single vehicles,Side,Minor,Other,No,None,Male,0,8.0,Yes,1.0,2.0,3.0
23,3,0,2,500,Multiple vehicles,Front,Total Loss,Other,Yes,Yes,Male,1,4.0,Yes,1.0,2.0,3.0
22,1,1,2,500,Single vehicles,Side,Major,Other,No,No,Male,1,5.0,Yes,1.0,2.0,3.0
16,1,0,2,500,Vehicle Theft,Side,Minor,None,No,No,Male,0,7.0,Yes,1.0,2.0,3.0
14,1,0,2,500,Single vehicles,Side,Minor,Ambulance,No,Yes,Male,0,4.0,Yes,1.0,2.0,3.0
3,1,2,2,500,Vehicle Theft,Side,Trivial,Other,No,None,Male,0,2.0,Yes,1.0,2.0,3.0
15,4,2,2,500,Vehicle Theft,Front,Major,Ambulance,Yes,None,Male,1,10.0,Yes,1.0,2.0,3.0
14,1,1,2,500,Single vehicles,Unknown,Minor,Fire Brigade,No,None,Male,0,6.0,Yes,1.0,2.0,3.0
17,3,0,2,500,Single vehicles,Side,Minor,None,No,No,Male,0,1.0,Yes,1.0,2.0,3.0
0,3,3,6,500,Single vehicles,Rear,Minor,Fire Brigade,No,No,Male,0,1.0,No,1.0,1.0,2.0
7,3,0,6,500,Multiple vehicles,Front,Total Loss,Ambulance,No,No,Male,1,8.0,Yes,1.0,1.0,2.0
8,4,0,6,500,Multiple vehicles,Front,Total Loss,Police,Yes,Yes,Male,0,3.0,Yes,1.0,1.0,2.0
19,4,2,6,500,Multiple vehicles,Front,Major,Police,Yes,None,Male,0,3.0,Yes,1.0,1.0,2.0
14,1,1,5,1000,Parked Car,Side,Minor,Police,No,Yes,Other,0,4.0,No,3.0,1.0,0.0
23,4,1,5,1000,Multiple vehicles,Side,Total Loss,Other,No,No,Other,1,4.0,Yes,3.0,1.0,0.0
8,2,2,5,1000,Multiple vehicles,Side,Major,Police,Yes,Yes,Other,1,9.0,Yes,3.0,1.0,0.0
18,2,0,5,1000,Multiple vehicles,Front,Major,None,No,None,Other,1,7.0,Yes,3.0,1.0,0.0
5,1,1,5,1000,Single vehicles,Side,Trivial,None,Yes,None,Other,0,3.0,Yes,3.0,1.0,0.0
6,3,0,5,1000,Single vehicles,Unknown,Total Loss,Ambulance,Yes,None,Other,1,1.0,Yes,3.0,1.0,0.0
13,4,2,5,1000,Multiple vehicles,Side,Major,Police,No,No,Other,1,2.0,Yes,3.0,1.0,0.0
1,1,2,5,1000,Single vehicles,Side,Trivial,Other,No,No,Other,0,8.0,Yes,3.0,1.0,0.0
10,1,2,7,500,Vehicle Theft,Front,Minor,Other,No,No,Male,0,6.0,No,1.0,1.0,1.0
4,4,0,7,500,Vehicle Theft,Rear,Total Loss,Police,Yes,No,Male,0,4.0,Yes,1.0,1.0,1.0
9,1,2,7,500,Single vehicles,Side,Trivial,None,No,Yes,Male,0,7.0,Yes,1.0,1.0,1.0
7,1,1,7,500,Vehicle Theft,Rear,Minor,Other,No,Yes,Male,0,4.0,Yes,1.0,1.0,1.0
0,2,0,6,500,Single vehicles,Rear,Minor,Fire Brigade,No,None,Male,0,9.0,No,0.0,1.0,2.0
11,1,2,6,500,Vehicle Theft,Front,Major,Other,No,Yes,Male,0,3.0,Yes,0.0,1.0,2.0
1,1,0,6,500,Vehicle Theft,Side,Minor,None,Yes,Yes,Male,0,4.0,Yes,0.0,1.0,2.0
4,4,0,6,500,Multiple vehicles,Side,Total Loss,Ambulance,Yes,No,Male,1,2.0,Yes,0.0,1.0,2.0
9,1,0,6,500,Vehicle Theft,Side,Minor,None,Yes,No,Male,0,4.0,Yes,0.0,1.0,2.0
15,4,0,5,1000,Multiple vehicles,Front,Total Loss,Other,Yes,No,Male,1,8.0,No,0.0,2.0,1.0
16,4,0,5,1000,Multiple vehicles,Front,Total Loss,None,No,None,Male,0,10.0,Yes,0.0,2.0,1.0
8,3,2,5,1000,Single vehicles,Rear,Trivial,Other,No,No,Male,0,10.0,Yes,0.0,2.0,1.0
19,1,0,5,1000,Vehicle Theft,Rear,Minor,Other,Yes,No,Male,0,7.0,Yes,0.0,2.0,1.0
1,4,0,5,1000,Multiple vehicles,Side,Minor,Other,No,No,Male,0,1.0,Yes,0.0,2.0,1.0
1,4,0,5,1000,Vehicle Theft,Rear,Minor,Police,No,No,Male,0,6.0,Yes,0.0,2.0,1.0
1,1,2,5,1000,Vehicle Theft,Side,Minor,Ambulance,No,Yes,Male,0,4.0,Yes,0.0,2.0,1.0
0,2,2,7,500,Multiple vehicles,Unknown,Major,Fire Brigade,Yes,No,Male,1,3.0,No,2.0,1.0,2.0
2,1,2,7,500,Vehicle Theft,Side,Minor,None,No,None,Male,0,5.0,Yes,2.0,1.0,2.0
21,1,1,7,500,Single vehicles,Side,Minor,None,No,No,Male,0,3.0,Yes,2.0,1.0,2.0
23,4,1,7,500,Multiple vehicles,Rear,Major,Fire Brigade,Yes,None,Male,1,8.0,Yes,2.0,1.0,2.0
17,1,2,7,500,Single vehicles,Rear,Minor,None,No,Yes,Male,0,8.0,Yes,2.0,1.0,2.0
15,1,2,3,1000,Single vehicles,Rear,Trivial,Other,No,None,Female,0,7.0,No,3.0,1.0,5.0
16,4,0,3,1000,Multiple vehicles,Front,Total Loss,Ambulance,No,None,Female,1,1.0,Yes,3.0,1.0,5.0
7,1,0,3,1000,Vehicle Theft,Side,Trivial,None,No,Yes,Female,0,5.0,Yes,3.0,1.0,5.0
8,4,1,3,1000,Multiple vehicles,Rear,Total Loss,Other,Yes,None,Female,0,9.0,Yes,3.0,1.0,5.0
11,1,0,3,1000,Parked Car,Rear,Minor,Ambulance,No,None,Female,0,10.0,Yes,3.0,1.0,5.0
5,3,2,3,1000,Vehicle Theft,Rear,Minor,Fire Brigade,Yes,None,Female,0,3.0,Yes,3.0,1.0,5.0
7,3,0,3,1000,Single vehicles,Rear,Minor,None,No,No,Female,1,4.0,Yes,3.0,1.0,5.0
20,1,0,3,1000,Vehicle Theft,Rear,Minor,None,No,No,Female,0,5.0,Yes,3.0,1.0,5.0
14,2,3,3,1000,Multiple vehicles,Front,Total Loss,Other,No,None,Female,1,6.0,Yes,3.0,1.0,5.0
0,2,0,3,1000,Vehicle Theft,Front,Minor,Fire Brigade,No,Yes,Female,0,9.0,Yes,3.0,1.0,5.0
11,4,0,5,500,Vehicle Theft,Side,Total Loss,Police,Yes,None,Female,1,8.0,No,1.0,3.0,1.0
13,1,0,8,1000,Single vehicles,Rear,Minor,Other,Yes,No,Other,0,6.0,No,2.0,1.0,0.0
12,1,3,8,1000,Multiple vehicles,Front,Total Loss,None,No,None,Other,1,3.0,Yes,2.0,1.0,0.0
9,1,0,8,1000,Single vehicles,Side,Minor,None,Yes,Yes,Other,0,4.0,Yes,2.0,1.0,0.0
9,1,2,8,1000,Single vehicles,Side,Minor,Other,No,Yes,Other,0,5.0,Yes,2.0,1.0,0.0
11,1,2,8,1000,Multiple vehicles,Front,Total Loss,None,No,None,Other,1,7.0,Yes,2.0,1.0,0.0
5,1,1,8,1000,Single vehicles,Side,Minor,Police,No,No,Other,0,8.0,Yes,2.0,1.0,0.0
