Policy_ID,claim_time_diff,incident_state,previous_claim_made,incident_hour_of_the_day,Claim_Amount,Incident_Type,Collision_Type,Incident_Severity,authorities_contacted,number_of_vehicles_involved,number_of_witnesses,property_damage,police_report_filed,injury_claim,property_claim,vehicle_claim,vehicle_age,car_model,bodyily_injuries,False_Flag,Driving Under Influence,Others,Traffic Violations,population,density,Age_of_Policyholder,Earned_Premium,Policy_Age,Insured_Gender,Policy_Deductible,Insured_Education,Insured_Relation,Insured_Occupation,Insured_Hobbies
26888,6,0.00755,0,0,3013,Vehicle Theft,Rear,Minor,Unknown,1,0,0,0,314,349,2357,6,Unknown,0,1,1,1,1,9916,28.0,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,1,0.00665,1,12,52,Vehicle Theft,Side,Minor,Other,3,2,1,1,32,7,39,9,Chevrolet Silverado,0,0,1,1,1,523,13.5,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,10,0.00755,1,4,319,Single vehicles,Rear,Trivial,Police,1,0,1,0,60,37,249,1,Volkswagen Jetta,1,0,1,1,1,9916,28.0,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,4,0.0064,1,3,25286,Multiple vehicles,Front,Total Loss,Other,2,0,0,Unknown,3276,2646,19395,1,Saab 93,1,1,1,1,1,2494,19.0,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,10,0.00755,1,20,2785,Single vehicles,Side,Trivial,Other,1,2,0,1,300,371,2121,9,Ford Fusion,0,0,1,1,1,9916,28.0,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,8,0.0083,1,7,1421,Vehicle Theft,Side,Minor,Unknown,1,0,1,Unknown,227,173,1051,11,Saab 95,0,0,1,1,1,8737,679.5,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,10,0.00755,1,2,229,Vehicle Theft,Front,Minor,Fire Brigade,1,0,0,1,42,28,177,7,Volkswagen Jetta,1,0,1,1,1,9916,28.0,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26888,1,0.0058,1,6,4286,Vehicle Theft,Unknown,Minor,Unknown,2,0,0,Unknown,555,513,3239,5,Accura TL,0,0,1,1,1,16299,1520.9,42,34622,9,Female,1000,Associate,Self,IT Services,dancing
26889,1,0.0058,0,16,4387,Multiple vehicles,Rear,Trivial,Unknown,1,1,0,1,587,448,3375,10,Volkswagen Jetta,0,0,0,0,1,1301,65.5,44,12163,11,Female,500,High School,Self,Sales,board-games
26889,8,0.005,1,21,2303,Multiple vehicles,Rear,Minor,Police,1,1,0,0,316,302,1711,11,Unknown,0,0,0,0,1,16395,1716.6,44,12163,11,Female,500,High School,Self,Sales,board-games
26889,6,0.008,1,11,129,Single vehicles,Side,Minor,Unknown,1,1,0,0,36,15,100,2,Honda CRV,1,0,0,0,1,17522,43.6,44,12163,11,Female,500,High School,Self,Sales,board-games
26889,5,0.005,1,18,2595,Vehicle Theft,Side,Trivial,Police,1,2,1,0,287,303,2027,12,Suburu Forrestor,0,0,0,0,1,16395,1716.6,44,12163,11,Female,500,High School,Self,Sales,board-games
26889,10,0.00645,1,2,2141,Single vehicles,Side,Trivial,Ambulance,1,2,1,0,278,287,1601,2,Accura RSX,0,0,0,0,1,518,4.6,44,12163,11,Female,500,High School,Self,Sales,board-games
26890,5,0.00675,0,9,3962,Parked Car,Rear,Minor,Unknown,1,2,0,Unknown,489,532,2967,13,Chevrolet Tahoe,0,0,3,2,1,2500,4.2,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26890,6,0.00675,1,1,2690,Vehicle Theft,Rear,Minor,Unknown,1,2,0,0,379,353,1970,9,Audi A5,0,0,3,2,1,2500,4.2,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26890,6,0.0071,1,16,144,Parked Car,Side,Trivial,Police,1,2,0,0,39,16,112,13,Jeep Wrangler,1,0,3,2,1,421,49.5,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26890,1,0.00495,1,20,2082,Vehicle Theft,Side,Minor,Other,3,2,0,Unknown,271,244,1588,1,BMW M5,0,0,3,2,1,758,28.6,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26890,5,0.00675,1,11,6460,Multiple vehicles,Front,Total Loss,Unknown,2,1,0,0,776,820,4893,7,Honda Accord,0,1,3,2,1,2500,4.2,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26890,9,0.00725,1,11,48215,Multiple vehicles,Side,Total Loss,Police,4,0,1,1,6630,5148,36459,9,Accura MDX,0,1,3,2,1,32738,1464.9,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26890,9,0.0081,1,0,29794,Multiple vehicles,Front,Total Loss,Other,3,2,1,0,3582,4136,22088,9,Accura TL,0,1,3,2,1,4074,60.8,35,79107,4,Male,2000,High School,Self,"Factory, heavy industry",bungee-jumping
26891,8,0.00615,0,1,44544,Multiple vehicles,Front,Total Loss,Ambulance,4,1,1,1,4695,5664,34213,0,BMW M5,0,1,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,1,0.00615,1,17,8030,Multiple vehicles,Front,Total Loss,Unknown,1,1,0,Unknown,1033,1060,5950,9,Mercedes ML350,0,0,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,9,0.00615,1,17,704,Multiple vehicles,Rear,Trivial,Unknown,1,0,1,Unknown,109,80,533,12,Ford F150,0,0,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,9,0.00615,1,12,1235,Parked Car,Side,Minor,Other,3,0,0,Unknown,192,140,928,2,Saab 93,0,0,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,2,0.00615,1,19,11270,Single vehicles,Rear,Major,Other,4,1,1,Unknown,1400,1337,8566,0,Unknown,0,1,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,4,0.00615,1,11,829,Parked Car,Front,Minor,Unknown,1,0,1,Unknown,139,84,629,4,Toyota Highlander,0,0,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,1,0.00615,1,21,1018,Vehicle Theft,Rear,Minor,Other,3,0,1,0,160,119,759,10,Dodge Neon,0,0,1,3,1,240,2.9,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26891,9,0.00735,1,10,75,Vehicle Theft,Rear,Minor,Ambulance,1,0,1,0,40,8,58,14,BMW 3 Series,0,0,1,3,1,10360,38.6,28,62689,6,Unknown,1000,College,Self,Armed Forces,board-games
26892,1,0.00735,0,18,4131,Single vehicles,Rear,Trivial,Fire Brigade,3,0,0,1,570,549,3031,13,Ford Fusion,0,0,0,1,0,10773,193.1,46,15214,11,Female,500,Associate,Self,Armed Forces,polo
26892,3,0.00645,1,18,11127,Multiple vehicles,Front,Major,Ambulance,4,1,0,1,1241,1392,8508,1,Chevrolet Malibu,0,1,0,1,0,0,46.5,46,15214,11,Female,500,Associate,Self,Armed Forces,polo
26892,2,0.0073,1,5,260,Single vehicles,Rear,Major,Unknown,1,0,1,Unknown,52,29,195,10,BMW M5,0,0,0,1,0,10976,92.8,46,15214,11,Female,500,Associate,Self,Armed Forces,polo
26893,9,0.00755,0,10,40110,Multiple vehicles,Unknown,Major,Police,4,1,1,0,4363,5052,30723,15,Honda CRV,0,1,1,0,2,1123,10.7,39,44523,5,Male,500,PhD,Self,Management,bungee-jumping
26893,7,0.00755,1,7,9757,Multiple vehicles,Side,Total Loss,Other,1,0,0,1,1187,1192,7413,9,Mercedes E400,0,1,1,0,2,1123,10.7,39,44523,5,Male,500,PhD,Self,Management,bungee-jumping
26894,3,0.0081,0,18,69,Vehicle Theft,Unknown,Minor,Police,1,2,0,0,24,8,53,1,Ford Fusion,0,0,0,1,0,9642,131.6,57,2033,12,Female,2000,Unknown,Self,Unknown,yachting
26894,1,0.0071,1,18,1904,Vehicle Theft,Side,Minor,Other,3,1,0,Unknown,235,249,1447,4,Jeep Wrangler,0,0,0,1,0,197,82.2,57,2033,12,Female,2000,Unknown,Self,Unknown,yachting
26895,1,0.00495,0,17,703,Single vehicles,Side,Trivial,Fire Brigade,3,2,1,Unknown,109,73,551,8,Saab 95,1,0,0,0,0,15657,17.9,45,2028,12,Female,2000,High School,Self,Clerical,base-jumping
26896,3,0.009000000000000001,0,19,21733,Multiple vehicles,Side,Total Loss,Police,2,1,1,0,3034,2205,16509,1,Ford Fusion,1,1,2,1,1,42231,732.0,35,57199,5,Male,500,College,Spouse,IT Services,exercise
26896,5,0.0078,1,9,14181,Multiple vehicles,Unknown,Major,Fire Brigade,1,1,0,Unknown,1515,1943,10755,2,Accura RSX,0,1,2,1,1,873,8.4,35,57199,5,Male,500,College,Spouse,IT Services,exercise
26896,4,0.009000000000000001,1,4,15647,Multiple vehicles,Rear,Total Loss,Police,4,2,1,Unknown,1675,1668,12324,14,Mercedes E400,0,1,2,1,1,42231,732.0,35,57199,5,Male,500,College,Spouse,IT Services,exercise
26896,3,0.009000000000000001,1,15,11931,Multiple vehicles,Unknown,Total Loss,Police,2,2,1,Unknown,1461,1645,8837,10,Audi A3,0,1,2,1,1,42231,732.0,35,57199,5,Male,500,College,Spouse,IT Services,exercise
26897,9,0.00675,0,13,472,Vehicle Theft,Side,Trivial,Other,3,2,1,1,66,61,353,15,Chevrolet Tahoe,0,0,2,1,2,6188,261.8,36,46949,6,Female,500,Associate,Self,Management,board-games
26897,4,0.00705,1,16,7170,Multiple vehicles,Unknown,Total Loss,Unknown,1,1,1,0,864,732,5604,15,Volkswagen Jetta,1,1,2,1,2,17926,38.7,36,46949,6,Female,500,Associate,Self,Management,board-games
26897,10,0.0056,1,16,34012,Vehicle Theft,Side,Major,Other,4,3,0,1,4610,4575,24849,9,Suburu Legacy,1,1,2,1,2,327,0.9,36,46949,6,Female,500,Associate,Self,Management,board-games
26897,6,0.0066,1,0,4232,Vehicle Theft,Side,Trivial,Fire Brigade,1,2,0,Unknown,510,526,3221,2,Volkswagen Passat,0,0,2,1,2,16819,749.4,36,46949,6,Female,500,Associate,Self,Management,board-games
26897,8,0.0071,1,11,128,Single vehicles,Rear,Trivial,Other,4,0,1,0,31,14,97,6,Saab 92x,0,0,2,1,2,429,50.9,36,46949,6,Female,500,Associate,Self,Management,board-games
26897,3,0.0063,1,3,4690,Multiple vehicles,Rear,Minor,Police,1,1,1,Unknown,632,567,3518,12,BMW X5,0,0,2,1,2,741,6.1,36,46949,6,Female,500,Associate,Self,Management,board-games
26898,1,0.0071,0,15,4856,Vehicle Theft,Rear,Minor,Unknown,3,1,1,Unknown,510,547,3820,10,Chevrolet Malibu,0,0,1,1,2,808,44.7,25,43444,7,Male,500,High School,Self,Clerical,bungee-jumping
26898,8,0.0071,1,23,37928,Multiple vehicles,Side,Total Loss,Unknown,2,0,1,Unknown,3906,4666,29390,8,Saab 92x,1,1,1,1,2,808,44.7,25,43444,7,Male,500,High School,Self,Clerical,bungee-jumping
26898,3,0.0081,1,17,1533,Single vehicles,Rear,Minor,Ambulance,1,0,0,0,197,178,1193,1,Jeep Grand Cherokee,0,0,1,1,2,40824,242.1,25,43444,7,Male,500,High School,Self,Clerical,bungee-jumping
26898,6,0.0071,1,17,2168,Multiple vehicles,Side,Minor,Ambulance,3,1,1,Unknown,277,303,1596,1,Accura RSX,0,0,1,1,2,808,44.7,25,43444,7,Male,500,High School,Self,Clerical,bungee-jumping
26899,7,0.009000000000000001,0,18,24686,Multiple vehicles,Side,Total Loss,Police,4,1,1,Unknown,2942,2551,19224,12,Nissan Pathfinder,0,1,1,2,4,2468,28.5,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,2,0.00755,1,13,3787,Single vehicles,Unknown,Minor,Other,2,2,1,Unknown,443,450,2925,11,Mercedes ML350,1,0,1,2,4,724,293.3,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,6,0.00655,1,21,548,Multiple vehicles,Rear,Trivial,Ambulance,1,1,1,Unknown,79,74,417,14,Ford Fusion,0,0,1,2,4,77334,585.7,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,5,0.00615,1,22,16453,Multiple vehicles,Front,Total Loss,Fire Brigade,4,1,0,0,1859,2097,12512,0,Saab 95,0,1,1,2,4,6316,11.9,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,8,0.00655,1,23,18149,Multiple vehicles,Front,Major,Ambulance,2,2,1,0,2257,2405,13500,11,Suburu Impreza,0,1,1,2,4,77334,585.7,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,1,0.00655,1,14,71,Single vehicles,Unknown,Minor,Unknown,3,3,0,1,15,9,53,9,Chevrolet Malibu,0,0,1,2,4,77334,585.7,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,7,0.00655,1,21,4754,Single vehicles,Rear,Minor,Other,1,2,1,1,627,634,3499,5,Mercedes ML350,0,0,1,2,4,77334,585.7,32,61960,2,Male,1000,Masters,Self,Management,golf
26899,6,0.00655,1,19,1568,Single vehicles,Side,Minor,Other,1,0,1,Unknown,184,190,1203,5,Saab 92x,0,0,1,2,4,77334,585.7,32,61960,2,Male,1000,Masters,Self,Management,golf
26900,2,0.0066,0,10,29577,Multiple vehicles,Side,Total Loss,Police,3,3,1,Unknown,3630,3211,22742,2,Accura TL,0,1,0,2,1,27808,720.7,29,53150,5,Unknown,500,Masters,Self,IT Services,golf
26900,10,0.0083,1,4,28499,Multiple vehicles,Front,Total Loss,Other,4,1,1,Unknown,3886,3759,20884,5,Dodge Neon,0,1,0,2,1,83615,14307.7,29,53150,5,Unknown,500,Masters,Self,IT Services,golf
26900,6,0.0066,1,4,205,Single vehicles,Side,Minor,Police,3,0,1,0,31,22,160,11,BMW X5,1,0,0,2,1,27808,720.7,29,53150,5,Unknown,500,Masters,Self,IT Services,golf
26900,2,0.0066,1,7,184,Single vehicles,Side,Trivial,Unknown,1,1,0,Unknown,36,19,139,15,Honda Accord,1,0,0,2,1,27808,720.7,29,53150,5,Unknown,500,Masters,Self,IT Services,golf
26901,1,0.00795,0,0,151,Single vehicles,Rear,Minor,Other,4,0,1,1,41,21,111,10,Mercedes ML350,0,0,2,0,3,1053,18.5,27,57809,5,Male,500,College,Self,Unknown,kayaking
26901,9,0.00735,1,18,16291,Multiple vehicles,Front,Total Loss,Other,4,0,0,Unknown,1973,2179,12172,0,Ford F150,1,1,2,0,3,1094,6.0,27,57809,5,Male,500,College,Self,Unknown,kayaking
26901,9,0.00795,1,23,48305,Multiple vehicles,Front,Total Loss,Fire Brigade,4,0,1,Unknown,6784,5141,36414,6,Unknown,0,1,2,0,3,1053,18.5,27,57809,5,Male,500,College,Self,Unknown,kayaking
26902,7,0.0072,0,13,40440,Multiple vehicles,Side,Major,Other,4,0,1,1,4841,4825,30803,6,Accura TL,0,1,2,1,1,5618,85.7,32,120948,4,Male,1000,College,Self,Others,skydiving
26902,9,0.008,1,15,48880,Vehicle Theft,Side,Major,Police,3,0,0,1,5426,6687,36790,11,Saab 93,1,1,2,1,1,3914,18.0,32,120948,4,Male,1000,College,Self,Others,skydiving
26902,3,0.00755,1,20,43724,Multiple vehicles,Unknown,Total Loss,Unknown,3,0,1,1,4739,5303,33688,4,Suburu Legacy,0,1,2,1,1,361,6.9,32,120948,4,Male,1000,College,Self,Others,skydiving
26903,4,0.0063,0,11,38235,Multiple vehicles,Front,Total Loss,Unknown,4,0,0,Unknown,3875,4225,30147,12,Dodge RAM,0,1,2,0,3,2937,14.3,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,6,0.0063,1,23,8010,Multiple vehicles,Front,Total Loss,Unknown,4,1,0,0,1119,846,6074,9,Dodge RAM,0,0,2,0,3,2937,14.3,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,3,0.0081,1,0,39049,Multiple vehicles,Front,Total Loss,Fire Brigade,4,0,1,0,5036,4066,29955,15,Chevrolet Malibu,0,1,2,0,3,7888,13.2,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,7,0.0063,1,13,143,Single vehicles,Unknown,Trivial,Fire Brigade,2,0,0,Unknown,28,16,107,14,Honda Civic,0,0,2,0,3,2937,14.3,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,1,0.0063,1,22,83,Parked Car,Rear,Minor,Police,2,2,0,0,42,10,63,10,Mercedes ML350,0,0,2,0,3,2937,14.3,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,7,0.00635,1,14,18057,Multiple vehicles,Side,Total Loss,Other,4,0,0,0,2026,1932,14131,15,Volkswagen Passat,1,1,2,0,3,14766,145.9,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,7,0.009000000000000001,1,5,121,Single vehicles,Side,Major,Other,1,0,0,0,27,12,93,0,Accura TL,0,0,2,0,3,2468,28.5,37,92694,3,Male,500,High School,Self,Sales,No Info
26903,8,0.0063,1,17,1974,Multiple vehicles,Side,Trivial,Other,2,1,0,1,207,271,1504,9,BMW X5,0,0,2,0,3,2937,14.3,37,92694,3,Male,500,High School,Self,Sales,No Info
26904,2,0.00735,0,4,8417,Multiple vehicles,Side,Total Loss,Unknown,1,1,0,1,1011,952,6489,3,Ford Fusion,0,0,1,1,1,9353,18.7,30,19673,8,Male,1000,High School,Self,Others,dancing
26904,3,0.00735,1,4,12490,Single vehicles,Front,Total Loss,Unknown,1,3,0,0,1330,1522,9667,4,Dodge RAM,0,1,1,1,1,18448,46.6,30,19673,8,Male,1000,High School,Self,Others,dancing
26904,9,0.0058,1,21,537,Parked Car,Side,Minor,Unknown,1,3,0,1,76,70,408,5,Unknown,0,0,1,1,1,209,0.2,30,19673,8,Male,1000,High School,Self,Others,dancing
26905,5,0.0058,0,18,41636,Multiple vehicles,Front,Trivial,Ambulance,3,1,1,0,5386,5012,31264,3,Toyota Camry,0,1,4,3,2,5438,77.4,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,2,0.0083,1,10,35737,Vehicle Theft,Unknown,Total Loss,Ambulance,2,2,0,0,4403,4479,26877,14,Nissan Ultima,0,1,4,3,2,452,21.0,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,7,0.00745,1,0,12428,Multiple vehicles,Side,Total Loss,Police,3,0,1,0,1639,1666,9131,10,Toyota Camry,0,1,4,3,2,528,7.1,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,3,0.0058,1,3,3229,Vehicle Theft,Front,Trivial,Ambulance,3,0,0,1,367,447,2425,2,Mercedes C300,1,0,4,3,2,5438,77.4,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,8,0.0058,1,0,71,Single vehicles,Rear,Trivial,Unknown,4,1,0,Unknown,32,10,54,9,Accura MDX,1,0,4,3,2,5438,77.4,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,3,0.0058,1,6,62,Vehicle Theft,Unknown,Minor,Fire Brigade,3,0,0,1,30,8,47,3,Suburu Impreza,0,0,4,3,2,5438,77.4,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,2,0.006999999999999999,1,15,59750,Vehicle Theft,Front,Total Loss,Fire Brigade,4,0,1,0,7955,6469,45356,8,Jeep Grand Cherokee,0,1,4,3,2,602,6.8,31,145920,4,Male,1000,College,Self,Unknown,yachting
26905,8,0.0058,1,6,14896,Single vehicles,Front,Trivial,Other,2,2,1,1,1802,1823,11283,1,BMW M5,0,1,4,3,2,5438,77.4,31,145920,4,Male,1000,College,Self,Unknown,yachting
26906,1,0.00705,0,19,2848,Multiple vehicles,Rear,Trivial,Other,1,2,0,1,321,363,2185,9,Honda Civic,0,0,0,1,2,94,1.6,32,22078,8,Male,1000,Associate,Children,Logistics,bungee-jumping
26906,7,0.00655,1,17,7906,Multiple vehicles,Front,Total Loss,Unknown,1,0,0,0,914,996,6026,9,Honda Civic,0,1,0,1,2,20167,75.9,32,22078,8,Male,1000,Associate,Children,Logistics,bungee-jumping
26906,10,0.00705,1,21,6483,Multiple vehicles,Side,Total Loss,Unknown,3,0,0,Unknown,747,714,5038,2,Chevrolet Malibu,0,1,0,1,2,94,1.6,32,22078,8,Male,1000,Associate,Children,Logistics,bungee-jumping
26906,7,0.00705,1,14,6167,Multiple vehicles,Front,Total Loss,Ambulance,1,3,0,1,699,817,4657,7,Nissan Maxima,1,1,0,1,2,94,1.6,32,22078,8,Male,1000,Associate,Children,Logistics,bungee-jumping
26907,5,0.009000000000000001,0,20,9959,Multiple vehicles,Side,Total Loss,Unknown,4,0,1,Unknown,1199,1009,7776,1,Suburu Forrestor,0,1,2,2,1,13546,84.2,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,7,0.0081,1,14,2470,Vehicle Theft,Side,Trivial,Other,1,0,0,0,359,251,1876,7,Suburu Legacy,1,0,2,2,1,2519,2.6,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,7,0.009000000000000001,1,22,5845,Multiple vehicles,Side,Major,Police,3,0,0,Unknown,697,720,4459,10,Volkswagen Passat,0,0,2,2,1,13546,84.2,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,2,0.0066,1,13,27573,Multiple vehicles,Side,Total Loss,Police,3,2,1,1,3866,3752,19978,3,Accura MDX,0,1,2,2,1,881,0.6,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,5,0.0067,1,5,1360,Multiple vehicles,Unknown,Minor,Other,1,0,0,0,202,147,1032,2,Chevrolet Malibu,0,0,2,2,1,5076,34.7,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,8,0.0063,1,23,45341,Multiple vehicles,Front,Major,Police,4,3,1,Unknown,5974,6244,33149,5,Saab 93,1,1,2,2,1,705,5.0,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,2,0.009000000000000001,1,9,5199,Multiple vehicles,Front,Trivial,Other,1,3,0,0,677,636,3909,4,Chevrolet Tahoe,0,1,2,2,1,13546,84.2,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,3,0.009000000000000001,1,11,391,Single vehicles,Side,Major,Unknown,4,0,0,1,56,45,303,8,Suburu Forrestor,0,0,2,2,1,13546,84.2,24,114901,1,Male,1000,High School,Self,Finance,No Info
26907,6,0.0067,1,13,32850,Parked Car,Front,Total Loss,Police,3,1,1,Unknown,3365,3799,25707,11,Nissan Pathfinder,1,1,2,2,1,29737,33.8,24,114901,1,Male,1000,High School,Self,Finance,No Info
26908,2,0.00665,0,1,4974,Vehicle Theft,Side,Minor,Other,1,0,0,1,631,612,3759,3,Accura TL,0,0,1,1,0,12,0.0,24,32684,7,Female,2000,Associate,Spouse,Clerical,cross-fit
26908,8,0.00805,1,19,13982,Multiple vehicles,Rear,Total Loss,Fire Brigade,3,3,1,1,1698,1536,10764,11,Toyota Corolla,0,0,1,1,0,64197,1049.9,24,32684,7,Female,2000,Associate,Spouse,Clerical,cross-fit
26908,9,0.0062,1,6,590,Single vehicles,Side,Trivial,Unknown,2,0,0,1,94,75,447,8,Volkswagen Passat,0,0,1,1,0,2571,9.1,24,32684,7,Female,2000,Associate,Spouse,Clerical,cross-fit
26908,9,0.0073,1,10,14739,Single vehicles,Side,Total Loss,Unknown,2,0,1,0,1623,1765,11359,0,Suburu Legacy,0,1,1,1,0,13951,428.0,24,32684,7,Female,2000,Associate,Spouse,Clerical,cross-fit
26908,5,0.0077,1,17,622,Single vehicles,Side,Minor,Police,1,0,0,0,103,85,466,10,Toyota Camry,1,0,1,1,0,10111,15.8,24,32684,7,Female,2000,Associate,Spouse,Clerical,cross-fit
26908,7,0.0083,1,18,66,Vehicle Theft,Front,Trivial,Unknown,3,2,0,0,38,9,49,9,Saab 93,0,0,1,1,0,2279,42.2,24,32684,7,Female,2000,Associate,Spouse,Clerical,cross-fit
26909,2,0.0078,0,20,10207,Multiple vehicles,Side,Total Loss,Other,4,0,1,1,1321,1125,7779,11,Accura RSX,0,1,2,0,0,2338,6.4,27,36151,9,Male,500,College,Self,Unknown,No Info
26909,4,0.0073,1,16,2769,Single vehicles,Side,Trivial,Other,2,1,1,0,407,292,2093,15,Suburu Legacy,0,0,2,0,0,6033,47.2,27,36151,9,Male,500,College,Self,Unknown,No Info
26909,2,0.0073,1,10,639,Single vehicles,Unknown,Trivial,Unknown,3,0,1,Unknown,92,76,482,15,Dodge RAM,0,0,2,0,0,6033,47.2,27,36151,9,Male,500,College,Self,Unknown,No Info
26909,3,0.0073,1,19,15792,Multiple vehicles,Front,Total Loss,Unknown,4,0,1,1,1594,1679,12524,13,Accura MDX,1,1,2,0,0,6033,47.2,27,36151,9,Male,500,College,Self,Unknown,No Info
26909,8,0.0073,1,10,7415,Multiple vehicles,Front,Total Loss,Unknown,1,2,1,1,989,980,5467,1,Nissan Ultima,0,1,2,0,0,6033,47.2,27,36151,9,Male,500,College,Self,Unknown,No Info
